week,team_name,team_points,cum_points
1,Agami's Team H2H kp,3.0,3.0
2,Agami's Team H2H kp,6.0,9.0
3,Agami's Team H2H kp,6.5,15.5
4,Agami's Team H2H kp,4.0,19.5
5,Agami's Team H2H kp,5.0,24.5
6,Agami's Team H2H kp,5.5,30.0
7,Agami's Team H2H kp,5.0,35.0
8,Agami's Team H2H kp,7.0,42.0
9,Agami's Team H2H kp,3.0,45.0
10,Agami's Team H2H kp,3.0,48.0
11,Agami's Team H2H kp,5.0,53.0
12,Agami's Team H2H kp,5.0,58.0
13,Agami's Team H2H kp,3.0,61.0
14,Agami's Team H2H kp,7.5,68.5
15,Agami's Team H2H kp,5.0,73.5
16,Agami's Team H2H kp,4.0,77.5
17,Agami's Team H2H kp,2.0,79.5
18,Agami's Team H2H kp,5.5,85.0
19,Agami's Team H2H kp,4.5,89.5
1,Ariel's Amazing Team,2.0,2.0
2,Ariel's Amazing Team,7.0,9.0
3,Ariel's Amazing Team,5.0,14.0
4,Ariel's Amazing Team,4.0,18.0
5,Ariel's Amazing Team,4.0,22.0
6,Ariel's Amazing Team,3.0,25.0
7,Ariel's Amazing Team,3.0,28.0
8,Ariel's Amazing Team,4.0,32.0
9,Ariel's Amazing Team,0.0,32.0
10,Ariel's Amazing Team,2.0,34.0
11,Ariel's Amazing Team,4.0,38.0
12,Ariel's Amazing Team,4.0,42.0
13,Ariel's Amazing Team,4.0,46.0
14,Ariel's Amazing Team,2.0,48.0
15,Ariel's Amazing Team,2.0,50.0
16,Ariel's Amazing Team,5.0,55.0
17,Ariel's Amazing Team,6.0,61.0
18,Ariel's Amazing Team,3.0,64.0
19,Ariel's Amazing Team,5.0,69.0
1,Floki's monsters,6.0,6.0
2,Floki's monsters,6.0,12.0
3,Floki's monsters,2.5,14.5
4,Floki's monsters,5.0,19.5
5,Floki's monsters,1.0,20.5
6,Floki's monsters,7.0,27.5
7,Floki's monsters,3.0,30.5
8,Floki's monsters,6.5,37.0
9,Floki's monsters,6.0,43.0
10,Floki's monsters,4.0,47.0
11,Floki's monsters,5.0,52.0
12,Floki's monsters,4.0,56.0
13,Floki's monsters,7.0,63.0
14,Floki's monsters,1.5,64.5
15,Floki's monsters,7.0,71.5
16,Floki's monsters,4.0,75.5
17,Floki's monsters,8.0,83.5
18,Floki's monsters,6.0,89.5
19,Floki's monsters,6.0,95.5
1,Mello!,2.0,2.0
2,Mello!,6.0,8.0
3,Mello!,7.0,15.0
4,Mello!,6.0,21.0
5,Mello!,8.0,29.0
6,Mello!,3.5,32.5
7,Mello!,6.0,38.5
8,Mello!,6.0,44.5
9,Mello!,7.0,51.5
10,Mello!,7.5,59.0
11,Mello!,6.0,65.0
12,Mello!,8.0,73.0
13,Mello!,2.0,75.0
14,Mello!,2.0,77.0
15,Mello!,4.0,81.0
16,Mello!,5.0,86.0
17,Mello!,7.0,93.0
18,Mello!,6.0,99.0
19,Mello!,6.0,105.0
1,Otzma modi'in,3.0,3.0
2,Otzma modi'in,4.0,7.0
3,Otzma modi'in,4.0,11.0
4,Otzma modi'in,6.0,17.0
5,Otzma modi'in,6.0,23.0
6,Otzma modi'in,7.0,30.0
7,Otzma modi'in,6.0,36.0
8,Otzma modi'in,2.0,38.0
9,Otzma modi'in,9.0,47.0
10,Otzma modi'in,1.5,48.5
11,Otzma modi'in,3.5,52.0
12,Otzma modi'in,4.0,56.0
13,Otzma modi'in,2.5,58.5
14,Otzma modi'in,6.0,64.5
15,Otzma modi'in,5.5,70.0
16,Otzma modi'in,6.0,76.0
17,Otzma modi'in,2.0,78.0
18,Otzma modi'in,3.0,81.0
19,Otzma modi'in,4.5,85.5
1,SenGOAT 2.0,7.0,7.0
2,SenGOAT 2.0,7.0,14.0
3,SenGOAT 2.0,5.0,19.0
4,SenGOAT 2.0,5.0,24.0
5,SenGOAT 2.0,5.0,29.0
6,SenGOAT 2.0,5.0,34.0
7,SenGOAT 2.0,6.0,40.0
8,SenGOAT 2.0,1.0,41.0
9,SenGOAT 2.0,3.0,44.0
10,SenGOAT 2.0,6.0,50.0
11,SenGOAT 2.0,5.0,55.0
12,SenGOAT 2.0,1.0,56.0
13,SenGOAT 2.0,8.0,64.0
14,SenGOAT 2.0,3.0,67.0
15,SenGOAT 2.0,4.0,71.0
16,SenGOAT 2.0,5.0,76.0
17,SenGOAT 2.0,3.0,79.0
18,SenGOAT 2.0,2.0,81.0
19,SenGOAT 2.0,4.5,85.5
1,SqueeZee's Boys,6.0,6.0
2,SqueeZee's Boys,3.0,9.0
3,SqueeZee's Boys,4.5,13.5
4,SqueeZee's Boys,5.0,18.5
5,SqueeZee's Boys,4.0,22.5
6,SqueeZee's Boys,6.0,28.5
7,SqueeZee's Boys,4.0,32.5
8,SqueeZee's Boys,3.0,35.5
9,SqueeZee's Boys,2.0,37.5
10,SqueeZee's Boys,4.5,42.0
11,SqueeZee's Boys,3.0,45.0
12,SqueeZee's Boys,5.0,50.0
13,SqueeZee's Boys,2.0,52.0
14,SqueeZee's Boys,2.0,54.0
15,SqueeZee's Boys,4.0,58.0
16,SqueeZee's Boys,4.0,62.0
17,SqueeZee's Boys,3.0,65.0
18,SqueeZee's Boys,4.0,69.0
19,SqueeZee's Boys,3.0,72.0
1,The Big Fundamental,3.0,3.0
2,The Big Fundamental,5.0,8.0
3,The Big Fundamental,4.5,12.5
4,The Big Fundamental,4.0,16.5
5,The Big Fundamental,8.0,24.5
6,The Big Fundamental,4.0,28.5
7,The Big Fundamental,4.0,32.5
8,The Big Fundamental,2.5,35.0
9,The Big Fundamental,6.0,41.0
10,The Big Fundamental,7.0,48.0
11,The Big Fundamental,3.0,51.0
12,The Big Fundamental,2.0,53.0
13,The Big Fundamental,6.5,59.5
14,The Big Fundamental,7.0,66.5
15,The Big Fundamental,5.0,71.5
16,The Big Fundamental,5.0,76.5
17,The Big Fundamental,4.5,81.0
18,The Big Fundamental,3.5,84.5
19,The Big Fundamental,3.0,87.5
1,The Black Bamba,7.0,7.0
2,The Black Bamba,3.0,10.0
3,The Black Bamba,0.0,10.0
4,The Black Bamba,3.0,13.0
5,The Black Bamba,1.0,14.0
6,The Black Bamba,4.0,18.0
7,The Black Bamba,5.0,23.0
8,The Black Bamba,3.0,26.0
