Team,Floki's monsters,SenGOAT 2.0,Three & D 🏀🏀,Mello!,The Black Bamba,The Burger Kings,Trust the Process,Agami's Team H2H kp,SqueeZee's Boys,Ariel's Amazing Team,Otzma modi'in,The Big Fundamental,week
Floki's monsters, ### ,5 : 4,5 : 4,7 : 2,5 : 4,6 : 3,6 : 3,7 : 1,7 : 2,5 : 3,7 : 2,8 : 1,1
SenGOAT 2.0,4 : 5, ### ,4 : 5,7 : 2,5 : 4,4 : 5,6 : 3,5 : 4,6 : 3,7 : 2,6 : 3,7 : 2,1
Three & D 🏀🏀,4 : 5,5 : 4, ### ,5 : 4,5 : 4,6 : 3,5 : 4,6 : 3,5 : 4,5 : 4,6 : 3,6 : 3,1
Mello!,2 : 7,2 : 7,4 : 5, ### ,4 : 5,6 : 3,4 : 5,5 : 2,7 : 2,7 : 2,6 : 3,7 : 2,1
The Black Bamba,4 : 5,4 : 5,4 : 5,5 : 4, ### ,4 : 5,5 : 4,5 : 4,5 : 4,7 : 2,6 : 3,5 : 4,1
The Burger Kings,3 : 6,5 : 4,3 : 6,3 : 6,5 : 4, ### ,5 : 4,5 : 4,6 : 3,6 : 2,7 : 2,5 : 3,1
Trust the Process,3 : 6,3 : 6,4 : 5,5 : 4,4 : 5,4 : 5, ### ,6 : 3,5 : 4,6 : 3,6 : 3,6 : 3,1
Agami's Team H2H kp,1 : 7,4 : 5,3 : 6,2 : 5,4 : 5,4 : 5,3 : 6, ### ,5 : 4,4 : 5,5 : 4,6 : 3,1
SqueeZee's Boys,2 : 7,3 : 6,4 : 5,2 : 7,4 : 5,3 : 6,4 : 5,4 : 5, ### ,4 : 5,6 : 3,6 : 3,1
Ariel's Amazing Team,3 : 5,2 : 7,4 : 5,2 : 7,2 : 7,2 : 6,3 : 6,5 : 4,5 : 4, ### ,4 : 4,6 : 3,1
Otzma modi'in,2 : 7,3 : 6,3 : 6,3 : 6,3 : 6,2 : 7,3 : 6,4 : 5,3 : 6,4 : 4, ### ,4 : 5,1
The Big Fundamental,1 : 8,2 : 7,3 : 6,2 : 7,4 : 5,3 : 5,3 : 6,3 : 6,3 : 6,3 : 6,5 : 4, ### ,1
The Big Fundamental,6 : 3,4 : 4,7 : 2,6 : 2,7 : 2,6 : 3,8 : 1,6 : 3,8 : 1,7 : 2,5 : 4, ### ,2
SenGOAT 2.0,5 : 4, ### ,7 : 2,5 : 4,5 : 4,4 : 4,7 : 2,3 : 3,7 : 1,5 : 4,6 : 3,4 : 4,2
Mello!,5 : 3,4 : 5,8 : 1, ### ,6 : 3,5 : 4,6 : 3,5 : 4,7 : 2,4 : 5,5 : 4,2 : 6,2
Floki's monsters, ### ,4 : 5,5 : 4,3 : 5,5 : 4,6 : 3,7 : 2,7 : 2,6 : 3,5 : 4,6 : 3,3 : 6,2
Agami's Team H2H kp,2 : 7,3 : 3,5 : 4,4 : 5,4 : 5,6 : 3,6 : 3, ### ,7 : 2,6 : 3,7 : 2,3 : 6,2
Ariel's Amazing Team,4 : 5,4 : 5,7 : 2,5 : 4,6 : 3,3 : 5,7 : 2,3 : 6,6 : 3, ### ,6 : 3,2 : 7,2
The Burger Kings,3 : 6,4 : 4,6 : 3,4 : 5,5 : 4, ### ,5 : 4,3 : 6,8 : 1,5 : 3,5 : 3,3 : 6,2
The Black Bamba,4 : 5,4 : 5,6 : 3,3 : 6, ### ,4 : 5,6 : 3,5 : 4,7 : 2,3 : 6,4 : 5,2 : 7,2
Otzma modi'in,3 : 6,3 : 6,6 : 3,4 : 5,5 : 4,3 : 5,5 : 4,2 : 7,6 : 3,3 : 6, ### ,4 : 5,2
Trust the Process,2 : 7,2 : 7,5 : 4,3 : 6,3 : 6,4 : 5, ### ,3 : 6,5 : 4,2 : 7,4 : 5,1 : 8,2
Three & D 🏀🏀,4 : 5,2 : 7, ### ,1 : 8,3 : 6,3 : 6,4 : 5,4 : 5,5 : 3,2 : 7,3 : 6,2 : 7,2
SqueeZee's Boys,3 : 6,1 : 7,3 : 5,2 : 7,2 : 7,1 : 8,4 : 5,2 : 7, ### ,3 : 6,3 : 6,1 : 8,2
Mello!,7 : 2,6 : 3,6 : 3, ### ,7 : 2,5 : 4,7 : 2,6 : 2,7 : 2,5 : 4,6 : 3,7 : 2,3
Three & D 🏀🏀,8 : 1,4 : 5, ### ,3 : 6,9 : 0,6 : 3,7 : 2,6 : 3,7 : 2,5 : 4,3 : 6,7 : 2,3
SenGOAT 2.0,7 : 2, ### ,5 : 4,3 : 6,6 : 3,4 : 5,7 : 2,6 : 3,7 : 2,5 : 4,5 : 4,5 : 3,3
Ariel's Amazing Team,7 : 2,4 : 5,4 : 5,4 : 5,6 : 3,5 : 4,7 : 2,6 : 3,6 : 3, ### ,4 : 5,7 : 2,3
The Burger Kings,6 : 3,5 : 4,3 : 6,4 : 5,6 : 3, ### ,7 : 2,6 : 3,5 : 4,4 : 5,5 : 4,5 : 3,3
Otzma modi'in,7 : 2,4 : 5,6 : 3,3 : 6,6 : 3,4 : 5,6 : 3,4 : 4,6 : 3,5 : 4, ### ,5 : 4,3
The Big Fundamental,6 : 3,3 : 5,2 : 7,2 : 7,5 : 4,3 : 5,6 : 3,6 : 3,4 : 4,2 : 7,4 : 5, ### ,3
Agami's Team H2H kp,6 : 2,3 : 6,3 : 6,2 : 6,5 : 4,3 : 6,6 : 3, ### ,4 : 5,3 : 6,4 : 4,3 : 6,3
SqueeZee's Boys,5 : 4,2 : 7,2 : 7,2 : 7,5 : 4,4 : 5,5 : 3,5 : 4, ### ,3 : 6,3 : 6,4 : 4,3
The Black Bamba,4 : 5,3 : 6,0 : 9,2 : 7, ### ,3 : 6,6 : 3,4 : 5,4 : 5,3 : 6,3 : 6,4 : 5,3
Floki's monsters, ### ,2 : 7,1 : 8,2 : 7,5 : 4,3 : 6,5 : 3,2 : 6,4 : 5,2 : 7,2 : 7,3 : 6,3
Trust the Process,3 : 5,2 : 7,2 : 7,2 : 7,3 : 6,2 : 7, ### ,3 : 6,3 : 5,2 : 7,3 : 6,3 : 6,3
Floki's monsters, ### ,6 : 3,5 : 3,6 : 1,6 : 3,7 : 2,7 : 2,6 : 3,6 : 2,5 : 4,6 : 3,7 : 2,4
Ariel's Amazing Team,4 : 5,7 : 2,4 : 5,5 : 4,6 : 3,7 : 2,6 : 3,6 : 3,4 : 5, ### ,5 : 3,5 : 3,4
Mello!,1 : 6,5 : 4,5 : 4, ### ,6 : 3,6 : 3,7 : 2,5 : 4,5 : 3,4 : 5,6 : 3,5 : 4,4
Three & D 🏀🏀,3 : 5,5 : 3, ### ,4 : 5,6 : 3,6 : 3,6 : 3,5 : 4,5 : 4,5 : 4,5 : 4,4 : 4,4
The Big Fundamental,2 : 7,4 : 5,4 : 4,4 : 5,5 : 4,7 : 2,7 : 2,6 : 3,5 : 4,3 : 5,6 : 3, ### ,4
SenGOAT 2.0,3 : 6, ### ,3 : 5,4 : 5,6 : 2,6 : 2,4 : 5,5 : 4,6 : 3,2 : 7,5 : 4,5 : 4,4
SqueeZee's Boys,2 : 6,3 : 6,4 : 5,3 : 5,4 : 5,6 : 3,6 : 3,5 : 4, ### ,5 : 4,5 : 4,4 : 5,4
Otzma modi'in,3 : 6,4 : 5,4 : 5,3 : 6,6 : 3,6 : 3,6 : 3,5 : 4,4 : 5,3 : 5, ### ,3 : 6,4
Agami's Team H2H kp,3 : 6,4 : 5,4 : 5,4 : 5,5 : 4,6 : 3,6 : 3, ### ,4 : 5,3 : 6,4 : 5,3 : 6,4
The Black Bamba,3 : 6,2 : 6,3 : 6,3 : 6, ### ,3 : 5,4 : 5,4 : 5,5 : 4,3 : 6,3 : 6,4 : 5,4
Trust the Process,2 : 7,5 : 4,3 : 6,2 : 7,5 : 4,6 : 3, ### ,3 : 6,3 : 6,3 : 6,3 : 6,2 : 7,4
The Burger Kings,2 : 7,2 : 6,3 : 6,3 : 6,5 : 3, ### ,3 : 6,3 : 6,3 : 6,2 : 7,3 : 6,2 : 7,4
The Big Fundamental,8 : 1,6 : 3,8 : 1,7 : 2,8 : 1,7 : 2,7 : 2,8 : 1,6 : 3,7 : 1,6 : 3, ### ,5
Mello!,8 : 1,6 : 3,8 : 1, ### ,8 : 1,6 : 3,6 : 3,8 : 1,6 : 2,7 : 2,6 : 3,2 : 7,5
Otzma modi'in,5 : 4,5 : 4,5 : 4,3 : 6,7 : 2,4 : 5,6 : 3,8 : 1,7 : 2,7 : 2, ### ,3 : 6,5
The Burger Kings,5 : 4,6 : 3,6 : 3,3 : 6,6 : 2, ### ,7 : 2,7 : 2,4 : 5,5 : 4,5 : 4,2 : 7,5
SenGOAT 2.0,4 : 5, ### ,4 : 4,3 : 6,7 : 2,3 : 6,5 : 3,6 : 3,5 : 4,6 : 3,4 : 5,3 : 6,5
Three & D 🏀🏀,5 : 4,4 : 4, ### ,1 : 8,6 : 3,3 : 6,5 : 4,7 : 2,6 : 3,6 : 3,4 : 5,1 : 8,5
Floki's monsters, ### ,5 : 4,4 : 5,1 : 8,6 : 3,4 : 5,5 : 2,6 : 3,4 : 4,6 : 3,4 : 5,1 : 8,5
SqueeZee's Boys,4 : 4,4 : 5,3 : 6,2 : 6,6 : 3,5 : 4,5 : 4,5 : 4, ### ,6 : 2,2 : 7,3 : 6,5
