Team,Games,FG%,FG%_rank,FT%,FT%_rank,3P,3P_rank,PTS,PTS_rank,REB,REB_rank,AST,AST_rank,STL,STL_rank,BLK,BLK_rank,TOV,TOV_rank,rank,week
Floki's monsters,33,.498,12,.766,5,61,8.5,606,9,243,11,153,12,48,12,16,1,69,7.5,8.67,1
SenGOAT 2.0,38,.474,8,.812,9,64,11,685,12,226,9,116,4,25,1,30,10,73,6,7.78,1
Three & D 🏀🏀,40,.429,1,.845,12,70,12,525,3,171,1,146,11,40,10,27,8,64,9,7.44,1
Mello!,35,.469,6,.742,2,62,10,600,8,215,7,142,9.5,38,8.5,29,9,75,4,7.11,1
The Black Bamba,38,.462,5,.801,8,48,3,621,10,267,12,118,5,34,4,32,11,74,5,7.0,1
The Burger Kings,37,.449,4,.843,11,54,5.5,501,2,241,10,123,7,36,6,26,7,62,10.5,7.0,1
Trust the Process,39,.481,11,.768,6,57,7,644,11,219,8,106,2,33,3,34,12,95,1,6.78,1
Agami's Team H2H kp,33,.478,10,.697,1,34,1,571,4,213,6,142,9.5,38,8.5,22,4,69,7.5,5.72,1
SqueeZee's Boys,40,.443,2,.838,10,51,4,599,7,188,3,136,8,45,11,19,3,80,3,5.67,1
Ariel's Amazing Team,38,.446,3,.769,7,61,8.5,585,6,209,5,102,1,27,2,24,5.5,62,10.5,5.39,1
Otzma modi'in,34,.475,9,.755,4,41,2,431,1,177,2,109,3,35,5,24,5.5,61,12,4.83,1
The Big Fundamental,34,.471,7,.752,3,54,5.5,573,5,200,4,122,6,37,7,17,2,92,2,4.61,1
The Big Fundamental,42,.502,12,.831,10,84,10.5,773,10.5,260,6,146,5,44,9,31,8,71,9,8.89,2
SenGOAT 2.0,48,.474,7,.818,7.5,84,10.5,826,12,270,8,150,6.5,45,10.5,29,6.5,97,1.5,7.78,2
Mello!,46,.450,2.5,.822,9,80,9,773,10.5,254,5,165,10,32,6,36,11,89,4,7.44,2
Floki's monsters,44,.450,2.5,.758,4,73,7,770,9,314,12,219,12,56,12,27,5,95,3,7.39,2
Agami's Team H2H kp,45,.490,10,.732,2,56,3,753,8,308,11,184,11,45,10.5,29,6.5,97,1.5,7.06,2
Ariel's Amazing Team,45,.478,8.5,.781,6,89,12,728,7,276,9,129,4,34,7,19,2,77,7,6.94,2
The Burger Kings,47,.478,8.5,.864,12,61,4,629,4,299,10,150,6.5,31,4.5,26,4,76,8,6.83,2
The Black Bamba,45,.492,11,.833,11,67,6,649,6,217,3,116,1,29,3,35,10,85,6,6.33,2
Otzma modi'in,44,.470,6,.674,1,39,1,556,1,263,7,163,9,31,4.5,41,12,52,12,5.94,2
Trust the Process,45,.452,4,.757,3,65,5,637,5,252,4,152,8,41,8,16,1,86,5,4.78,2
Three & D 🏀🏀,46,.422,1,.775,5,75,8,577,2,202,2,125,3,28,1.5,33,9,59,11,4.72,2
SqueeZee's Boys,45,.456,5,.818,7.5,54,2,606,3,175,1,120,2,28,1.5,21,3,60,10,3.89,2
Mello!,40,.490,9,.757,3.5,75,11,694,11,265,11,157,12,40,9,35,11,97,1,8.72,3
Three & D 🏀🏀,42,.481,8,.847,11,74,10,659,8,206,5,141,4,43,10,24,8,71,10,8.22,3
SenGOAT 2.0,43,.461,3,.860,12,65,7.5,727,12,227,9,148,10,31,3,27,9,91,4,7.72,3
Ariel's Amazing Team,40,.494,10,.836,8,76,12,690,10,232,10,131,3,28,2,23,7,81,7,7.67,3
The Burger Kings,43,.471,6,.802,6,60,6,553,4,285,12,128,2,36,6.5,36,12,70,11,7.28,3
Otzma modi'in,41,.541,12,.728,2,41,1,536,3,225,7.5,144,7,44,11,33,10,64,12,7.28,3
The Big Fundamental,42,.463,4,.798,5,65,7.5,622,7,216,6,156,11,36,6.5,21,4,94,2.5,5.94,3
Agami's Team H2H kp,40,.499,11,.757,3.5,53,4,618,6,225,7.5,146,9,34,4,20,2.5,83,5,5.83,3
SqueeZee's Boys,44,.431,2,.838,9,73,9,682,9,194,3,142,5,35,5,22,5.5,94,2.5,5.56,3
The Black Bamba,40,.470,5,.840,10,55,5,561,5,188,2,104,1,37,8,16,1,75,8,5.0,3
Floki's monsters,38,.477,7,.813,7,48,2.5,524,2,195,4,143,6,24,1,20,2.5,72,9,4.56,3
Trust the Process,41,.421,1,.718,1,48,2.5,474,1,166,1,145,8,48,12,22,5.5,82,6,4.22,3
Floki's monsters,45,.497,9.5,.808,9,88,10.5,793,11,267,9,195,11,46,11,24,6,103,1,8.67,4
Ariel's Amazing Team,47,.487,8,.788,7,101,12,878,12,298,12,141,4,34,4.5,23,3.5,87,6,7.67,4
Mello!,42,.497,9.5,.740,4,72,7,714,9,265,8,173,10,43,9,24,6,96,3,7.28,4
Three & D 🏀🏀,45,.501,12,.728,2,88,10.5,701,7,212,2,147,5,38,6.5,31,11.5,83,8,7.17,4
The Big Fundamental,43,.474,5,.760,6,73,8,711,8,268,10,163,9,38,6.5,23,3.5,86,7,7.0,4
SenGOAT 2.0,42,.485,6.5,.822,11,76,9,790,10,219,4,133,3,29,2.5,31,11.5,97,2,6.61,4
SqueeZee's Boys,42,.450,2,.820,10,58,5,664,6,192,1,160,8,45,10,24,6,79,9,6.33,4
Otzma modi'in,43,.473,4,.735,3,54,4,649,4,279,11,154,7,34,4.5,25,8,70,11,6.28,4
Agami's Team H2H kp,41,.464,3,.805,8,47,2,662,5,245,7,209,12,47,12,11,1,89,5,6.11,4
The Black Bamba,46,.485,6.5,.844,12,44,1,608,3,215,3,88,1.5,25,1,27,9,71,10,5.22,4
Trust the Process,43,.499,11,.702,1,59,6,578,2,237,6,153,6,40,8,20,2,90,4,5.11,4
The Burger Kings,42,.448,1,.747,5,53,3,417,1,221,5,88,1.5,29,2.5,30,10,59,12,4.56,4
The Big Fundamental,48,.479,9,.829,9.5,86,12,863,12,294,12,202,12,41,11,26,8,95,2,9.72,5
Mello!,48,.496,10.5,.809,7,74,11,822,11,267,11,183,10,45,12,24,7,106,1,8.94,5
Otzma modi'in,45,.539,12,.779,2,49,3,623,8,250,10,130,5,33,7,33,11,60,11,7.67,5
The Burger Kings,40,.471,8,.824,8,58,6,429,1,215,9,76,1,39,8.5,35,12,42,12,7.28,5
SenGOAT 2.0,41,.432,1,.855,11,57,4.5,633,9,198,4,141,6,32,5.5,32,10,67,9,6.67,5
Three & D 🏀🏀,42,.450,4,.801,6,72,10,655,10,187,3,161,9,32,5.5,23,6,92,4,6.39,5
Floki's monsters,38,.456,6,.800,4.5,70,8.5,608,7,202,7.5,150,7,40,10,10,1,82,5,6.28,5
SqueeZee's Boys,38,.496,10.5,.860,12,70,8.5,596,6,155,1,122,4,19,1,15,2.5,63,10,6.17,5
Trust the Process,44,.454,5,.800,4.5,57,4.5,569,4,202,7.5,195,11,31,4,31,9,94,3,5.83,5
Ariel's Amazing Team,38,.439,2,.829,9.5,68,7,574,5,199,5.5,108,3,27,2.5,15,2.5,74,6,4.78,5
The Black Bamba,34,.458,7,.797,3,40,2,464,2,183,2,89,2,39,8.5,22,5,70,8,4.39,5
Agami's Team H2H kp,45,.442,3,.702,1,30,1,481,3,199,5.5,152,8,27,2.5,18,4,73,7,3.89,5
Floki's monsters,43,.529,11,.883,11,73,11,774,11,266,11,173,9,42,8.5,15,1.5,74,8,9.11,6
Agami's Team H2H kp,42,.534,12,.729,1,61,7.5,812,12,237,9,191,11,43,10.5,30,8.5,94,2,8.17,6
Three & D 🏀🏀,46,.481,6.5,.770,5.5,84,12,751,10,230,6,160,7,40,7,36,12,90,3,7.67,6
Mello!,40,.519,10,.778,7,56,4,677,8,268,12,199,12,34,4.5,30,8.5,103,1,7.44,6
Otzma modi'in,46,.483,8,.750,3,65,9,628,6,234,8,136,6,42,8.5,34,11,79,7,7.39,6
SqueeZee's Boys,40,.471,4,.847,9,70,10,656,7,169,1,163,8,44,12,17,3,80,6,6.67,6
SenGOAT 2.0,44,.438,1,.884,12,53,3,737,9,240,10,190,10,39,6,18,4,88,4,6.56,6
The Black Bamba,46,.481,6.5,.770,5.5,60,6,501,2,172,2,94,1,33,3,32,10,64,12,5.33,6
Ariel's Amazing Team,38,.464,3,.826,8,61,7.5,590,4.5,182,3,98,2,31,2,22,6,70,10,5.11,6
Trust the Process,41,.497,9,.742,2,44,1,518,3,225,5,124,5,34,4.5,25,7,71,9,5.06,6
The Big Fundamental,35,.476,5,.853,10,59,5,590,4.5,186,4,108,3,25,1,15,1.5,69,11,5.0,6
The Burger Kings,42,.443,2,.756,4,49,2,476,1,232,7,121,4,43,10.5,21,5,84,5,4.5,6
Mello!,47,.497,11,.774,5.5,64,4,746,10,267,10,193,12,43,7.5,28,9.5,105,4,8.17,7
